Time,CMIP7 v2.2.1
1869.125,-0.251678
1869.208333,-0.286275
1869.291667,-0.300341
1869.375,-0.299905
1869.458333,-0.290331
1869.541667,-0.275099
1869.625,-0.256794
1869.708333,-0.236457
1869.791667,-0.215918
1869.875,-0.194095
1869.958333,-0.17301
1870.041667,-0.153613
1870.125,-0.134997
1870.208333,-0.118807
1870.291667,-0.105413
1870.375,-0.093772
1870.458333,-0.083932
1870.541667,-0.0755892
1870.625,-0.0686186
1870.708333,-0.0620989
1870.791667,-0.0565391
1870.875,-0.0493625
1870.958333,-0.0423606
1871.041667,-0.0364386
1871.125,-0.0304482
1871.208333,-0.0259344
1871.291667,-0.0232127
1871.375,-0.0212801
1871.458333,-0.0201707
1871.541667,-0.0196444
1871.625,-0.0196377
1871.708333,-0.0192882
1871.791667,-0.0191905
1871.875,-0.0168208
1871.958333,-0.0140477
1872.041667,-0.0232679
1872.125,-0.0255593
1872.208333,-0.0232565
1872.291667,-0.0215049
1872.375,-0.602707
1872.458333,-0.958925
1872.541667,-1.15309
1872.625,-1.24527
1872.708333,-1.27053
1872.791667,-1.25191
1872.875,-1.20202
1872.958333,-1.13321
1873.041667,-1.10533
1873.125,-1.19283
1873.208333,-1.20303
1873.291667,-1.16366
1873.375,-1.09351
1873.458333,-1.00718
1873.541667,-0.914123
1873.625,-0.820818
1873.708333,-0.730461
1873.791667,-0.645885
1873.875,-0.565729
1873.958333,-0.492541
1874.041667,-0.427344
1874.125,-0.368768
1874.208333,-0.317929
1874.291667,-0.274684
1874.375,-0.237315
1874.458333,-0.205441
1874.541667,-0.179336
1874.625,-0.157159
1874.708333,-0.137637
1874.791667,-0.120955
1874.875,-0.104251
1874.958333,-0.0891203
1875.041667,-0.0762733
1875.125,-0.0643759
1875.208333,-0.0548438
1875.291667,-0.115614
1875.375,-0.188557
1875.458333,-0.233298
1875.541667,-0.256914
1875.625,-0.265226
1875.708333,-0.262236
1875.791667,-0.25219
1875.875,-0.235366
1875.958333,-0.21561
1876.041667,-0.195726
1876.125,-0.175543
1876.208333,-0.156947
1876.291667,-0.140709
1876.375,-0.126027
1876.458333,-0.113154
1876.541667,-0.101894
1876.625,-0.0921855
1876.708333,-0.0831348
1876.791667,-0.0752693
1876.875,-0.0659731
1876.958333,-0.0570594
1877.041667,-0.0604782
1877.125,-0.0583762
1877.208333,-0.0520909
1877.291667,-0.0468756
1877.375,-0.0424199
1877.458333,-0.0389469
1877.541667,-0.0464149
1877.625,-0.0496528
1877.708333,-0.0486553
1877.791667,-0.046839
1877.875,-0.0424319
1877.958333,-0.037548
1878.041667,-0.0332687
1878.125,-0.0285196
1878.208333,-0.0249624
1878.291667,-0.0229861
1878.375,-0.0216204
1878.458333,-0.0209388
1878.541667,-0.0207342
1878.625,-0.0209683
1878.708333,-0.0207819
1878.791667,-0.0208002
1878.875,-0.0184613
1878.958333,-0.0156819
1879.041667,-0.0134612
1879.125,-0.0106893
1879.208333,-0.00899893
1879.291667,-0.00876558
1879.375,-0.00901602
1879.458333,-0.00981362
1879.541667,-0.010953
1879.625,-0.0123983
1879.708333,-0.0132959
1879.791667,-0.0142824
1879.875,-0.0127922
1879.958333,-0.0107653
1880.041667,-0.00920755
1880.125,-0.00701929
1880.208333,-0.00584134
1880.291667,-0.00605919
1880.375,-0.00670664
1880.458333,-0.00785114
1880.541667,-0.0893219
1880.625,-0.187217
1880.708333,-0.251862
1880.791667,-0.293273
1880.875,-0.315364
1880.958333,-0.324583
1881.041667,-0.325102
1881.125,-0.318125
1881.208333,-0.30705
1881.291667,-0.293684
1881.375,-0.27816
1881.458333,-0.261496
1881.541667,-0.244225
1881.625,-0.226918
1881.708333,-0.209197
1881.791667,-0.192727
1881.875,-0.17454
1881.958333,-0.156683
1882.041667,-0.140285
1882.125,-0.124308
1882.208333,-0.110434
1882.291667,-0.0990578
1882.375,-0.0891482
1882.458333,-0.0807585
1882.541667,-0.0736169
1882.625,-0.0676418
1882.708333,-0.0619116
1882.791667,-0.0569926
1882.875,-0.0502452
1882.958333,-0.0435515
1883.041667,-0.0378764
1883.125,-0.0320466
1883.208333,-0.0276768
