Aerosol-radiation interactions,Aerosol-cloud interactions
0.0,0.0
-2.6360757336478676e-06,-1.1102230246251565e-16
-0.0001828259511456076,-0.0022455422215471588
-0.00044237543744095613,-0.004486202206065437
-0.0006047957821768017,-0.006721983165172918
-0.0007830268329458828,-0.008952942128261032
-0.0009423677274452198,-0.011179081993956008
-0.0011204460413832718,-0.013400407633983202
-0.0012901173337973065,-0.01561697152884245
-0.0014592304474447244,-0.01782876046949211
-0.0016371477010454875,-0.02003583042889967
-0.0018221705696409576,-0.022238183834635383
-0.0021672915242473296,-0.025030658726118094
-0.002355019653287577,-0.027815569864737877
-0.0026486422985660075,-0.03059299126732906
-0.002943246048940258,-0.033362949471351766
-0.003236633643070093,-0.036125482572543555
-0.003520275785617278,-0.03888063027171562
-0.0038105027062383676,-0.04162843005170136
-0.004091667625491555,-0.04436892478744425
-0.004377486475913758,-0.04710215133166917
-0.004658553047162244,-0.04982813089909088
-0.005647352913412233,-0.053650284863221764
-0.006568976746634545,-0.057458298598983104
-0.007342622986590792,-0.061252310374494634
-0.00802040652938798,-0.06503240586101511
-0.008743110865170248,-0.06879866985282745
-0.009486291868956984,-0.07255123685929088
-0.010187539352781284,-0.07629017260761883
-0.01088344386350437,-0.08001560918700856
-0.011603636063739563,-0.08372761042615628
-0.012349550716540083,-0.08742630605983992
-0.013506593386012464,-0.09285109939275438
-0.014546490841934994,-0.09824747036330328
-0.015675411463150175,-0.1036157460928181
-0.01677386340541915,-0.10895620497326475
-0.01786981767001152,-0.11426913026391072
-0.019020560995366528,-0.1195548079317702
-0.02014744061311157,-0.12481349826276444
-0.021304830559613276,-0.13004550550366356
-0.022395703435666915,-0.13525108675037267
-0.023543366104910268,-0.14043050416381975
-0.025313422271633895,-0.14764453349856577
-0.027078010357201858,-0.15480841529925338
-0.028837586560242084,-0.16192284194581907
-0.03059409583461998,-0.16898849157706752
-0.032349617249638356,-0.17600602180619562
-0.0341054604377866,-0.18297609848689322
-0.035862572414191614,-0.1898993509130279
-0.03762186862268199,-0.1967764040097547
