Aerosol-radiation interactions,Aerosol-cloud interactions
0.0,0.0
-1.5827863470721755e-06,7.004175017755188e-11
0.0012713406960009402,0.01017100146416633
0.0017830225435953332,0.014578951877172563
0.0011633077729017297,0.010010039632337486
-0.0011946534576688544,-0.007677875002597201
-7.598141946922815e-05,-0.0008642654905258729
-0.000715006598885379,-0.0015437222941012685
-0.0011265966240709645,-0.009089212890670328
-0.001658645353779244,-0.013488425103616808
-0.002249211442753769,-0.014602174026364101
-0.00331154514196671,-0.018733740601187376
-0.0029665418541736316,-0.018662625967141633
-0.0033798379357670755,-0.01836421878613248
-0.002949772746616218,-0.01400012921609961
-0.0029412824129871483,-0.01673654604111896
-0.0050335401962212385,-0.030381019424601252
-0.0045056215603991815,-0.026507446773359256
-0.006057854003757837,-0.037185419619410576
-0.007586213418571582,-0.04920004068398587
-0.00742270295752341,-0.04404225364274139
-0.008583766630289522,-0.052827480838219865
-0.007983204232917963,-0.046239243903563265
-0.008249795269148107,-0.04362518270305271
-0.010516929515843706,-0.05869701188874332
-0.011046318278936755,-0.06359793658281665
-0.010480149300061635,-0.0569148548417342
-0.011866921677735644,-0.06321931671932612
-0.012189218208007325,-0.06723767410108439
-0.012594562771377127,-0.07063109661705014
-0.014640530516873695,-0.0802022736005149
-0.016583241785738122,-0.08558541654318619
-0.016815618855862295,-0.08907661758479835
-0.01781443556770853,-0.09040372482221914
-0.01800681506630706,-0.08743190416514579
-0.018705705258591443,-0.0948427043215988
-0.0196712945963059,-0.09931937272042024
-0.019248762147131015,-0.09798528763590375
-0.020918763374987936,-0.10741744542718579
-0.024550391515493288,-0.12626010193955683
-0.024015529732672333,-0.12218109409952738
-0.02702586745929693,-0.13632565358710957
-0.027078375272174462,-0.13200399873205348
-0.027205828499405192,-0.13034587251953755
-0.02767054611302703,-0.13340825285987234
-0.030510141478678754,-0.14991211280161898
-0.03153126481523434,-0.15262427781072196
-0.032470969838202336,-0.151285590371811
-0.03468082228101642,-0.16585905678834734
-0.03663124833456102,-0.17334220672233347
-0.04174294261293626,-0.19399820838588988
-0.04410783314135918,-0.20104758825426572
-0.045107256052622044,-0.20428028426260236
-0.04655154326290401,-0.20786863389948484
-0.05049999370234966,-0.21896719793705777
-0.052999602878425964,-0.23264573403553312
-0.05695877032595128,-0.24801713793732394
-0.05976303305793977,-0.2568440091992191
-0.06810119915688086,-0.28923371304787027
-0.06515880244238675,-0.28130272188064465
-0.06846180074715082,-0.2904204873591242
-0.07332661207579692,-0.30949187578382564
-0.0724997946678013,-0.302820233515428
-0.07584111059363913,-0.3098441559084688
-0.081882096161396,-0.33132324144520087
-0.07649460734300453,-0.31672774869701914
-0.07514304495597426,-0.3087814208142927
-0.08271093594457263,-0.32981614240359736
-0.08709046441006346,-0.34643607256774733
-0.08700226416676846,-0.3466101348095598
-0.0736667092071163,-0.30410253703904155
-0.08242096162583035,-0.3327319563051928
-0.06762008586851491,-0.2813796734627837
-0.07142417011687686,-0.2903902071771647
-0.08681707682491725,-0.3469914916467851
-0.08525136110426941,-0.33500563814331175
-0.0863609532697239,-0.3379701434567416
-0.08763293436369289,-0.3365149049315228
-0.09409184280322191,-0.3608240904909993
-0.09443998140559874,-0.36026024915328314
-0.10245210665449533,-0.38487031775487424
-0.0957510978059437,-0.37032197810539225
-0.0812455843460404,-0.31692288805448654
-0.07026020372856337,-0.2876625312742501
-0.07511232573671353,-0.299048785894377
-0.08471187669232325,-0.3350649277865694
-0.09192948344470545,-0.35407072632077263
-0.1004140281670741,-0.385009565362855
-0.1085069341983255,-0.40448499828007656
-0.098540172581945,-0.37237008188850107
-0.10742616797345825,-0.403545606082784
-0.11761753634241105,-0.4280884679732544
-0.12228856492216605,-0.4400491681270384
-0.12667688924639814,-0.4550718137920071
-0.1281358790461212,-0.4575215619745614
-0.12601980466835033,-0.45217879308468434
-0.10980239527869101,-0.40422142116017645
-0.10701402134582289,-0.3959546229424803
-0.12241708726851736,-0.43472864546236323
-0.1289678975267296,-0.45680402099493167
-0.12602672291860195,-0.44902878953780656
-0.14274326709448362,-0.5010232148447666
-0.1455111822420054,-0.4966690798563258
-0.14913269413263394,-0.5084731156413218
-0.15326952814666903,-0.5240005783639203
-0.15347830288448572,-0.527291729995923
-0.16832761419447298,-0.5636955731026625
-0.1826725054540312,-0.6067435591468964
