CO2,CH4,N2O,CFC-11,CFC-12,CFC-113,CFC-114,CFC-115,HCFC-22,HCFC-141b,HCFC-142b,CCl4,CH3Cl,CH3CCl3,CH3Br,Halon-1202,Halon-1211,Halon-1301,Halon-2402,CF4,C2F6,C6F14,SF6,HFC-125,HFC-134a,HFC-143a,HFC-227ea,HFC-23,HFC-245fa,HFC-32,HFC-4310mee
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0014110301752817966,0.00039358144171319775,0.00013066792440089361,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1493128682921683e-06,0.0,0.0,-7.623296525288703e-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.004057901932610852,0.0012428951204401725,0.00043842776788827545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.3461974003774e-06,0.0,0.0,-7.623296525288703e-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.006527670056946461,0.00216206325777496,0.0007979794734658211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6704895105187146e-05,0.0,0.0,-7.623296525288703e-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.009174271249347471,0.0030783569468100375,0.001162751352232534,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5327511699266296e-05,0.0,0.0,-7.623296525288703e-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.01202537639579157,0.003924966887125486,0.0015268734206306247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3939021164388054e-05,0.0,0.0,-7.623296525288703e-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.014908106280782513,0.004714022718243796,0.0018913079062814328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.2556593430445894e-05,0.0,0.0,-7.623296525288703e-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.01782419802459717,0.00556133498638979,0.0022561680743192793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.118433888676249e-05,0.0,0.0,-7.623296525288703e-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.020945909005670976,0.006474120491807102,0.002620481791563085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.980534215449461e-05,0.0,0.0,-7.623296525288703e-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.024240631481403846,0.007394096667947388,0.0029841097757779753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.841306289657984e-05,0.0,0.0,-7.623296525288703e-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.027356738451444623,0.008314086705880713,0.003348026738086861,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.702753009505778e-05,0.0,0.0,-7.623296525288703e-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.030236245381937144,0.00923451022437153,0.0037124023098221177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.565786848196798e-05,0.0,0.0,-7.623296525288703e-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.03287151380340228,0.010152956952267478,0.004076282766541654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.427886368828457e-05,0.0,0.0,-7.623296525288703e-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.03532244703787346,0.011069013592945556,0.004439500646458004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00010288398865975324,0.0,0.0,-7.623296525288703e-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.03792486720602781,0.011994730891589742,0.004802989099393402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00011150157514924721,0.0,0.0,-7.623296525288703e-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.040499688719670496,0.012987654685942748,0.005166883311609964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00012013555017777857,0.0,0.0,-7.623296525288703e-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.04268191187767517,0.014035392244438193,0.005530250800286568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00012875706368828456,0.0,0.0,-7.623296525288703e-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.044651362334378636,0.015023288645293058,0.005892996362425414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00013736218865975324,0.0,0.0,-7.623296525288703e-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.04683225312988523,0.01594463700438299,0.006256061858494319,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00014597925068303715,0.0,0.0,-7.623296525288703e-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.049433688014478755,0.016866564172304914,0.0066138118831636505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00015460749025152283,0.0,0.0,-7.623296525288703e-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.052300077353087865,0.017853007668382374,0.006925438255018927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00016320977491499688,0.0,0.0,-7.623296525288703e-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.055428554180580764,0.018893597538162818,0.007162729160687499,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001717936324600726,0.0,0.0,-7.623296525288703e-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
