Aerosol-radiation interactions,Aerosol-cloud interactions
0.0,0.0
-5.327585716890519e-06,5.8100302346986155e-11
0.0003719070206146699,0.002508820900370634
0.00020584474366396884,0.0006059842446536345
0.00036556137917438073,0.00058789635621459
-0.00023872445742821602,-0.004024886494149116
-0.0005574993927670518,-0.007891469183716082
-0.0011593850613640239,-0.013317486923455468
-0.0011974302987658757,-0.014378855423165415
-0.001597306928236039,-0.017239369058273946
-0.0021289847451745397,-0.021889581063594954
-0.002770556439652625,-0.02560847671904931
-0.002832746710730606,-0.024983822283301427
-0.0026227076551466823,-0.02382946279500542
-0.0031268718726190424,-0.027276288572990026
-0.003598655644360164,-0.0299902892040661
-0.004092222552902137,-0.03375191450201609
-0.004963906165565562,-0.040837486892624786
-0.005944476190020414,-0.046817048722240684
-0.0064840515066391675,-0.05066081296629765
-0.007336243510472892,-0.05572384324055346
-0.007421925983016742,-0.056403160224944404
-0.00826052129112884,-0.05896681738589715
-0.009784203409750773,-0.06775667573320876
-0.010530654752967423,-0.07044918766025932
-0.010415850135555403,-0.06945576795588959
-0.011883199521736977,-0.07690840578625369
-0.012540122470081296,-0.08002296030309097
-0.013177463638615309,-0.08317122850320746
-0.01378324430974057,-0.08597972711054813
-0.015140590679215991,-0.09316337987047674
-0.01757057757299524,-0.10337669895851098
-0.018299725857086988,-0.10484416893935544
-0.019272047789336715,-0.10848664623365323
-0.020743614982065936,-0.11468850255168217
-0.02104126532119034,-0.11531300382882115
-0.021308684307375356,-0.11662154714609851
-0.022049887801270256,-0.12157263441203736
-0.02345317834843698,-0.1281969492062397
-0.026504264816272875,-0.14234295883866277
-0.0267989122522604,-0.14246806247122545
-0.029140942727762097,-0.15209374967319766
-0.03066391240297278,-0.15701846053343138
-0.031574536125462876,-0.16070286888360608
-0.031085975793215977,-0.1581536118595872
-0.03273007929980172,-0.16324412349124828
-0.03529437396701579,-0.174927667980882
-0.037076542828536646,-0.1815827637064602
-0.03927785669060579,-0.18926679155024206
-0.04219371576264675,-0.1997544717499038
-0.046641167602110865,-0.21705213195965656
-0.049409221906679957,-0.22598838242962105
-0.051627457621674505,-0.23233235150694376
-0.053341879133905645,-0.23757797891760957
-0.058321264112655744,-0.25610212177095715
-0.059686575231112315,-0.2593597750841158
-0.06435644426220455,-0.27617938093034233
-0.06951273088904333,-0.29578970346456657
-0.07739156301939445,-0.3235831338396433
-0.07448633853356991,-0.3136676151728941
-0.07881618274199814,-0.32819641146057776
-0.08254176065064578,-0.3397790586867794
-0.08311135741370083,-0.341315454236813
-0.0866768791931764,-0.353692560883768
-0.09009561535523773,-0.3654028356985942
-0.08196335594580224,-0.33677819089362326
-0.08165196204824542,-0.3371709450000565
-0.09010546905036429,-0.3643279018466299
-0.09405161960524108,-0.3768587856733515
-0.09309521732243992,-0.3736465063534492
-0.07833703047994858,-0.3236914527156116
-0.08733971360766427,-0.35477350347398073
-0.07311940577142055,-0.308357844871194
-0.07684734977086849,-0.31970196563604725
-0.08278650301355536,-0.3471370103685232
-0.08344403831139868,-0.34743191556318864
-0.08440980787484462,-0.35099475179728723
-0.08775410808413733,-0.3564463416689341
-0.09417165046306121,-0.37576933343340335
-0.09641273062683954,-0.3796734630454902
-0.10441747459990201,-0.4022498041002309
-0.09660501143643244,-0.37494399569703896
-0.08482228299345052,-0.3375351436818185
-0.07425842899023757,-0.30393194441901095
-0.07906323457806927,-0.31850975861232267
-0.08871220503778002,-0.3504976316495996
-0.09712190842030793,-0.3749945356990464
-0.10441817192058933,-0.3981432885909726
-0.11370392338005446,-0.4241377428799997
-0.10548538016478232,-0.3980798458138146
-0.11285254666676901,-0.41770814811883084
-0.12593602255816427,-0.4535095511511307
-0.13156756205782388,-0.4690178931873229
-0.13399222229699093,-0.47650384906667964
-0.13605468399812973,-0.4837723068414951
-0.13150429464830313,-0.4722955961439209
-0.11290560027593602,-0.41399528164841026
-0.10883378562582698,-0.40720916038875954
-0.12246193474375004,-0.4403568437728096
-0.12845805460497886,-0.45802345834212976
-0.12592856262610214,-0.44838981684594936
-0.13638645267485602,-0.4741157236940762
-0.14728781809313524,-0.5003132668099771
-0.15105166637118672,-0.5087061357382704
-0.15516283393021418,-0.5149031924669506
-0.16035887476202418,-0.5294926836536645
-0.17596571895666666,-0.5696346232790809
-0.18755277106663407,-0.5983678640675353
-0.19192681276088977,-0.6082788023763884
-0.19451832041127864,-0.6183928435891827
-0.20367466897028388,-0.6404251446923205
-0.21492745557723097,-0.6652120668599196
-0.22192690153590217,-0.67546418854802
-0.2303131016145767,-0.6911460199921294
-0.24157863604058366,-0.7135522486483489
-0.25566069480246445,-0.7368315743018642
-0.26444226651924285,-0.7520410996206853
-0.27128864295842375,-0.7611003953300298
-0.27346859831011094,-0.7612484817256596
-0.2861138014709863,-0.7847420624481974
-0.2979169223826819,-0.8074382882108665
-0.3199722723008975,-0.8450934348872169
-0.3185437012603677,-0.8461081755928305
-0.32603567833376346,-0.8620415791900379
-0.3416389598606828,-0.8896237422772976
-0.33676010882841106,-0.8829866829444132
-0.3299166660794568,-0.8737002179961663
-0.3442025772775425,-0.901926930618839
-0.345504052091572,-0.9092249380594967
-0.3455488600547915,-0.9147660888409347
-0.35242324789373103,-0.9272969528118667
-0.3557567823446289,-0.9306965842104763
-0.34370352006690674,-0.9090371730265229
-0.334805561108112,-0.8945296318249135
-0.3287369321472957,-0.8865636485097598
-0.3309194245975326,-0.8939471127957072
-0.3310638767567568,-0.8934262184907741
-0.3292851166263926,-0.8960253023703094
-0.33474516258420584,-0.9078670178799478
-0.3359472242770957,-0.9141806869107781
-0.3392606143083045,-0.9267023545028913
-0.3369089789398874,-0.9237839711453891
-0.32924475977912887,-0.9135320905125713
-0.32165999351751323,-0.9039302466029179
-0.3148778843788486,-0.8965160449258472
-0.30066950469398146,-0.8723524236748453
-0.2973481936243827,-0.8816866479491406
-0.2958456612352639,-0.8850445169713316
-0.2930021959333336,-0.8792659026080151
-0.2915523971822328,-0.8650515467103134
-0.2812633936804675,-0.8439171996266789
-0.27845898946918457,-0.831396461288903
-0.2790478862846951,-0.8273727480522103
-0.27587904353314563,-0.8233729701389528
-0.28968770011620937,-0.852989983723141
-0.30449627104159394,-0.8846746076584525
-0.3173663574233827,-0.9068486475378145
-0.31571882046967803,-0.902205580248158
-0.3125717402777156,-0.8944148317512622
-0.30071660609775974,-0.8779213245774408
-0.272278555486234,-0.8266740555411388
-0.2642080388318322,-0.8139191145635561
-0.27590032729876635,-0.8287449888504727
-0.26802329589146806,-0.8178734607305379
-0.2594462836535605,-0.8017074405649928
-0.24958293347126884,-0.7806936849515788
-0.23527738675891124,-0.7480315515406611
-0.2294278422683606,-0.7325319937551166
-0.2225267329715714,-0.7233591154235356
-0.21613671777030233,-0.7058504151579085
-0.21840160922617022,-0.7126968112886048
-0.1849832259561413,-0.6383181663204597
-0.19981578947260997,-0.6794495361060758
