Ozone,Land Use
0.0,0.0
-0.0027974966615215134,-0.024346105
-0.000790617997466972,-0.025331679
-0.004525034714625523,-0.026317252
-0.005969162234393358,-0.027302832
-0.004172026895472487,-0.028288411
-0.002312353740362745,-0.029273985
0.002610124358549657,-0.03025957
0.003155321831501304,-0.031245154
0.003216743709264569,-0.032230721
-0.002159394705691963,-0.033090458
0.004579847826700884,-0.033824352
0.005202232219773581,-0.034558274
0.008405722180601254,-0.035292195
0.007883663462160557,-0.036026096
0.007910522854237448,-0.036759987
0.008705651574918026,-0.037493892
0.010588490471779812,-0.038227797
0.012807849031748551,-0.038961696
0.01147456574253776,-0.039695604
0.011186209736228688,-0.040800474
0.0031385408158259792,-0.042276295
0.009183080402631704,-0.043752116
0.01164694815031679,-0.045227962
0.004346038896718894,-0.046703776
0.01021749281745944,-0.048179607
0.015922071104243457,-0.049655424
0.007122913042814257,-0.051131232
0.013050936627329462,-0.052607063
0.0161525383776394,-0.0540829
0.013414937813738356,-0.055399565
0.011693286583875442,-0.056557031
0.005736890337160256,-0.057714512
0.01759259081231794,-0.058871969
0.021759629434214788,-0.060029445
0.03873702802275567,-0.061186933
0.031335474506672734,-0.062344428
0.0274907862552285,-0.063501894
0.03528488400279668,-0.06465939
0.030046877513088266,-0.065816858
0.031543409617792194,-0.067020374
0.02944592530338494,-0.06826993
0.03620292458497642,-0.069519459
0.0335107803874781,-0.070769027
0.03539796814280537,-0.072018586
0.03114550568480245,-0.073268142
0.03445900449797624,-0.074517697
0.04707248820890342,-0.075767257
0.04755142599701185,-0.077016776
0.05096163255580395,-0.078266348
0.05169651275480479,-0.079628523
0.04693260112557476,-0.081103346
0.04881138251670933,-0.082578177
0.0448207302843261,-0.084053007
0.050249609776504375,-0.085527815
0.055508394351082194,-0.087002628
0.06089898553600772,-0.08847745
0.057279532594754205,-0.08995226
0.059143839019995655,-0.09142709
0.059806427264989075,-0.092901908
0.06307798482626102,-0.093993858
0.05985799462884667,-0.094702967
0.061381096333602246,-0.095412109
0.05948891532257833,-0.096121237
0.06483471405793409,-0.096830354
0.06397748996848955,-0.097539473
0.0613445813486303,-0.098248593
0.057257617413624166,-0.098957703
0.0602209487323595,-0.099666825
0.06526838531915709,-0.100375935
0.06416445300186778,-0.101186575
0.06175366660342713,-0.102098768
0.06480865312696417,-0.103010905
0.0663035432219977,-0.103923068
0.063678312747768,-0.104835259
0.06905307079341255,-0.105747438
0.07553127828171571,-0.106659604
0.07795202968353648,-0.107571775
0.07749172774726666,-0.108483945
0.07375713911168211,-0.109396119
0.08033085745619316,-0.110125553
0.07728671074975628,-0.110672209
0.08248028245937437,-0.111218886
0.08230992538659052,-0.111765558
0.08837198200388854,-0.112312251
0.0867722463069311,-0.112858922
0.0839309586400824,-0.113405607
0.0851616016413039,-0.113952253
0.09095066061255042,-0.114498937
0.08743509069534303,-0.115045612
0.08981674721044383,-0.115390598
0.09076412135291902,-0.115533894
0.09297331854276386,-0.115677153
0.09446559394666851,-0.115820439
0.10043972866499276,-0.11596372
0.10380711164143361,-0.116107001
0.10796316950341694,-0.116250296
0.11423371307526359,-0.11639355
0.12027279916545973,-0.116536855
0.12393949119476196,-0.116680142
0.12478391899858168,-0.117155491
0.1270752899765134,-0.117962883
0.13826657140013465,-0.118770246
0.13764284752651118,-0.119577665
0.14893548265114714,-0.120385063
0.16268580358073462,-0.121192452
0.16421439259185827,-0.121999834
0.16766794462314932,-0.12280723
0.17432805798943526,-0.12361464
0.18946443878749133,-0.124422043
0.19157764984880038,-0.124959701
0.19885006295458796,-0.125227588
0.2009806129332462,-0.125495517
0.2124484481513931,-0.125763443
0.2234934370767296,-0.126031346
0.23734820471456008,-0.126299259
0.2524307165576622,-0.126567179
0.25627665822848317,-0.126835091
0.26070437564444227,-0.127103015
0.2673615954464332,-0.127370926
0.27230042972840574,-0.127535666
0.27681505411130836,-0.127597301
0.2840694274215016,-0.12765892
0.2935923165210334,-0.127720542
0.2960448847780718,-0.127782172
0.2977040259672814,-0.127843794
0.3086313979661542,-0.127905405
0.31155191925216524,-0.127967027
0.3158522162279114,-0.12802865
0.3146096681419009,-0.128090277
0.32011585413175986,-0.128233631
0.32643686549946926,-0.128458688
0.33327769848125677,-0.128683746
0.33965699756399176,-0.12890881
0.3492230349291416,-0.129133902
0.34723676809362425,-0.129358985
0.35029891492246623,-0.129584056
0.34924007065398255,-0.129809114
0.3477086336279321,-0.130034166
0.3499212543268342,-0.130259231
0.34940202641738904,-0.130374438
0.34833773675698737,-0.130379769
0.3462534003214461,-0.130385085
0.354210406533405,-0.13039044
0.35041707509351216,-0.130395779
0.35292369615453306,-0.130401084
0.348085162445356,-0.130406425
0.3483072896366016,-0.130411761
0.34952512679260234,-0.130417087
0.3500161296166876,-0.130422417
0.3530617237958524,-0.130253613
0.3554347983960057,-0.129910628
0.35378608284021523,-0.129567672
0.35548358481325215,-0.129224713
0.3586079943407351,-0.128881738
