CO2,CH4,N2O,CFC-11,CFC-12,CFC-113,CFC-114,CFC-115,HCFC-22,HCFC-141b,HCFC-142b,CCl4,CHCl3,CH2Cl2,CH3Cl,CH3CCl3,CH3Br,Halon-1211,Halon-1301,Halon-2402,CF4,C2F6,C3F8,c-C4F8,C4F10,C5F12,C6F14,C7F16,C8F18,NF3,SF6,SO2F2,HFC-125,HFC-134a,HFC-143a,HFC-152a,HFC-227ea,HFC-23,HFC-236fa,HFC-245fa,HFC-32,HFC-365mfc,HFC-4310mee
0.7075420836304467,0.29388179937097847,0.0834735989218759,0.010539608337933938,0.029662915482272352,0.00123883624039028,0.00132490099809249,1.6006253201249998e-05,0.001670168589817,0.0,0.0,0.011700156552867198,3.880362572548e-05,0.00012291210159250002,0.00036252462031400017,0.00057343791477966,6.825599667360004e-06,1.5006993997200002e-06,0.0,1.5584493766200001e-06,0.0008059009647978998,0.00015133317280650004,6.4006313308e-06,3.6966340537920004e-05,3.0568545999999995e-08,1.4163981796e-06,1.8911942832e-07,3.7405678981600003e-06,2.3903836908e-07,0.0,0.00014173974154224,6.781610881860001e-06,0.0,0.0,0.0,0.0,0.0,0.00018765477744862004,0.0,0.0,0.0,0.0,0.0
0.7237379708425653,0.300678728845427,0.08477374684691903,0.01232625504221869,0.03384159687909706,0.0013940675,0.00141762837198157,2.4625002216250003e-05,0.00201232846728095,0.0,0.0,0.012076508851509599,4.1735407514429976e-05,0.00013218531240529998,0.00037282332283400014,0.000748018609681,7.0847994211200015e-06,3.0014e-06,0.0,3.1169003116900004e-06,0.0008482115790613002,0.00015494039955875,6.57212789884e-06,4.1406332725440003e-05,3.1453522e-08,1.7725655812e-06,2.5186746576e-07,4.102318724960001e-06,4.0193808269e-07,0.0,0.00016202504668409002,8.8576139937e-06,0.0,0.0,0.0,0.0,0.0,0.00021420743706734998,0.0,0.0,0.0,0.0,0.0
0.740645079277368,0.3095342753203687,0.0861643814952364,0.014378188142218688,0.03850946565307968,0.00157190534611726,0.00151349896791681,3.5706252708750003e-05,0.0023961892328920003,0.0,0.0,0.012438737701357599,4.4774431630249976e-05,0.0001417957350865,0.0003818637340180002,0.0009451882677300001,7.343999174880002e-06,4.50210180084e-06,0.0,4.67535e-06,0.0008970353366074999,0.00015948938272054998,6.7800725769e-06,4.630687945632e-05,3.2375372e-08,2.1784768944e-06,3.4217763296e-07,4.46400565552e-06,5.903832214699998e-07,0.0,0.00018420236134964003,1.1210418616300001e-05,0.0,0.0,0.0,0.0,0.0,0.00024317629621166002,0.0,0.0,0.0,0.0,0.0
0.7582628311030801,0.3172188689307236,0.08759253386424963,0.01672765247974525,0.043648599146920326,0.00177687089427302,0.0016125129358336202,5.048125320125e-05,0.002803573427291,0.0,0.0,0.012787673447132799,4.792073316582997e-05,0.0001517433428335,0.0003897624680359999,0.0011420352799925999,7.6031989286400035e-06,7.50349969986e-06,0.0,6.2338e-06,0.0009535298467100001,0.0001653481735543,7.03594101994e-06,5.1668027504640005e-05,3.3095668716e-07,2.6342323888e-06,4.9722033608e-07,4.82556932168e-06,8.0074595681e-07,0.0,0.00020839384936229002,1.3840024117440002e-05,0.0,0.0,0.0,0.0,0.0,0.0002747111249219,0.0,0.0,0.0,0.0,0.0
0.7765920403149942,0.3250614972132556,0.08911994948404933,0.0193365392982392,0.04920345194692033,0.00201197855757122,0.00171624181194454,6.771875147750001e-05,0.0032387583483710005,0.0,4.83225289935e-06,0.013123317358297597,5.1174417399840015e-05,0.0001620281627371,0.0003965892091300001,0.0013501768051632002,7.862398682399999e-06,1.0504901200560002e-05,1.49715149715e-06,7.792251870140002e-06,0.0010170136326131003,0.0001727543390462,7.3444572429900005e-06,5.749040910528e-05,8.959397464200001e-07,3.1344387012000003e-06,7.2941518696e-07,5.1871204098400005e-06,1.02993178382e-06,0.0,0.00023472824279145002,1.6746429443420002e-05,0.0,0.0,0.0,0.0,0.0,0.00030896984809323006,0.0,0.0,0.0,0.0,0.0
0.7956393370170998,0.332579869625229,0.09068014938275844,0.02222976353581736,0.055211652195893766,0.0022817494518442404,0.0018231140600370298,8.61874985225e-05,0.0037188513695515,0.0,1.35303e-05,0.013445666895927199,5.453555444449001e-05,0.00017265019450909996,0.0004024608543319999,0.0016176951342062001,8.143198928640003e-06,1.5007000300140003e-05,4.491449999999999e-06,1.0909150000000002e-05,0.0010883562147372004,0.0001820929219421,7.72047123603e-06,6.377268570335999e-05,1.6174934970800003e-06,3.6818357188e-06,1.0395284237600001e-06,5.5485406868000005e-06,1.28318077541e-06,0.0,0.00026334089181070003,1.9929635437200005e-05,0.0,0.0,0.0,0.0,0.0,0.00034611850209365004,0.0,0.0,0.0,0.0,0.0
0.8153982062992551,0.3389074026336375,0.09234655505715524,0.02551432270168263,0.06181117874610336,0.0025907049804791402,0.0019347012160093001,0.00010835001403625,0.0042630996366595005,0.0,2.222834903355e-05,0.013755556208145598,5.800421448555998e-05,0.00018360943872589998,0.0004074937340180002,0.0019645976342062,8.445599667360003e-06,2.2510518908820006e-05,7.48574850285e-06,1.4026049376620001e-05,0.0011699107973703999,0.00019397413053275,8.19368135908e-06,7.051597548192e-05,2.44796087532e-06,4.278935888e-06,1.42776428688e-06,5.9099187016800005e-06,1.55575159445e-06,0.0,0.00029437375053354006,2.338964230952e-05,0.0,0.0,0.0,0.0,0.0,0.00038633116443552,0.0,0.0,0.0,0.0,0.0
0.8358362207725814,0.3461953566880026,0.09403829414501268,0.02918581772974525,0.0690289033950768,0.00294487353805036,0.0020667198398983803,0.00014528750812625003,0.0048191097179225,0.0,3.092640792489e-05,0.014054643447132798,6.158043254237001e-05,0.0001949058948111,0.00041173420913000007,0.0023702314012538006,8.726399917920002e-06,4.802241680784e-05,1.048006018062e-05,1.714295218183e-05,0.0012637481352956999,0.00020894812821525003,8.82078605212e-06,7.759928770848e-05,3.3429632846600007e-06,4.9312776776e-06,1.9041462667199998e-06,6.27118603016e-06,1.83923490856e-06,0.0,0.00032797533905320006,2.7126449638900004e-05,0.0,0.0,0.0,0.0,0.0,0.0004297900462728,0.0,0.0,0.0,0.0,0.0
0.8569564433091819,0.3534971485285149,0.09582901849019296,0.03291593852081996,0.07638460144897345,0.0033668614241135998,0.00221759809593524,0.00019453750517125,0.005392227782077501,4.81950433755e-06,4.735605947120999e-05,0.014342931148490399,6.526434906005002e-05,0.0002065395633411,0.0004153225,0.0027597305381156,9.028798596000002e-06,9.004199459748e-05,2.2457259881189995e-05,2.1818300000000004e-05,0.0013590898373271004,0.00022491543158975,9.54238697517e-06,8.490130925472001e-05,4.31552978426e-06,5.6362006824e-06,2.4635836152e-06,6.63239650608e-06,2.12982660221e-06,0.0,0.00036430086638833,3.114006121866001e-05,0.0,0.0,0.0,0.0,0.0,0.00047653196380033,0.0,0.0,0.0,0.0,0.0
0.8787651512634278,0.36059880284452384,0.09765097524327389,0.036547859931939986,0.08346614085389664,0.003832555345213,0.00237319156003703,0.00024501875123125,0.006035916331263,1.44585006426e-05,7.151730096644999e-05,0.014619587701357599,6.905599905792003e-05,0.0002185104163605,0.00041837493653800015,0.0031808541362164,9.352799835840002e-06,0.00013056090060027998,4.3417348802279995e-05,2.6493650311690005e-05,0.0014544920893929001,0.0002406699705996,1.03281110632e-05,9.244989643968e-05,5.378314793440001e-06,6.3966049764000004e-06,3.10133975056e-06,6.9934389399199995e-06,2.42373148579e-06,1.0796544e-10,0.0004035120242515201,3.54304686192e-05,0.0,0.0,0.0,0.0,0.0,0.00052768453883102,0.0,0.0,0.0,0.0,0.0
