Time,CMIP5
1850.041667,0
1850.125,-0.086941493
1850.208333,-0.083407289
1850.291667,-0.078982873
1850.375,-0.076487076
1850.458333,-0.072634157
1850.541667,-0.071043618
1850.625,-0.066262813
1850.708333,-0.066262813
1850.791667,-0.064765175
1850.875,-0.06244337
1850.958333,-0.061204604
1851.041667,-0.058235074
1851.125,-0.058235074
1851.208333,-0.056518343
1851.291667,-0.054669938
1851.375,-0.052246985
1851.458333,-0.050063582
1851.541667,-0.050063582
1851.625,-0.047845145
1851.708333,-0.045915915
1851.791667,-0.04389717
1851.875,-0.042072491
1851.958333,-0.039858362
1852.041667,-0.037438142
1852.125,-0.035654628
1852.208333,-0.033518469
1852.291667,-0.033518469
1852.375,-0.031867793
1852.458333,-0.029367141
1852.541667,-0.02740596
1852.625,-0.025626219
1852.708333,-0.023022945
1852.791667,-0.021539679
1852.875,-0.018958888
1852.958333,-0.017198657
1853.041667,-0.017198657
1853.125,-0.014679538
1853.208333,-0.01267083
1853.291667,-0.01267083
1853.375,-0.010175356
1853.458333,-0.010175356
1853.541667,-0.008239931
1853.625,-0.008239931
1853.708333,-0.006519038
1853.791667,-0.006519038
1853.875,-0.006519038
1853.958333,-0.00468278
1854.041667,-0.00468278
1854.125,-0.00468278
1854.208333,-0.00468278
1854.291667,-0.002855039
1854.375,-0.002855039
1854.458333,-0.002855039
1854.541667,-0.002855039
1854.625,-0.002855039
1854.708333,-0.002855039
1854.791667,0
1854.875,0
1854.958333,0
1855.041667,0
1855.125,0
1855.208333,0
1855.291667,0
1855.375,0
1855.458333,0
1855.541667,0
1855.625,0
1855.708333,0
1855.791667,0
1855.875,-0.056518343
1855.958333,-0.151220558
1856.041667,-0.247846768
1856.125,-0.341751656
1856.208333,-0.434387698
1856.291667,-0.527556292
1856.375,-0.620568706
1856.458333,-0.712250682
1856.541667,-0.806883799
1856.625,-0.873589331
1856.708333,-0.919237089
1856.791667,-0.964751316
1856.875,-1.009054782
1856.958333,-1.05340779
1857.041667,-1.0983074
1857.125,-1.144176041
1857.208333,-1.188892532
1857.291667,-1.231173039
1857.375,-1.275965714
1857.458333,-1.320537305
1857.541667,-1.365385338
1857.625,-1.347606561
1857.708333,-1.272045614
1857.791667,-1.194359107
1857.875,-1.117072989
1857.958333,-1.039759431
1858.041667,-0.962766111
1858.125,-0.887743669
1858.208333,-0.818519962
1858.291667,-0.75250053
1858.375,-0.694727078
1858.458333,-0.638388253
1858.541667,-0.58845054
1858.625,-0.542302939
1858.708333,-0.499148952
1858.791667,-0.458713944
1858.875,-0.422719613
1858.958333,-0.390422825
1859.041667,-0.357932961
1859.125,-0.329319935
1859.208333,-0.30499546
1859.291667,-0.282052064
1859.375,-0.263862366
1859.458333,-0.243755475
1859.541667,-0.223284365
1859.625,-0.208711821
1859.708333,-0.196291352
1859.791667,-0.184022511
1859.875,-0.173973665
