year,LUH2-CMIP6
1700,0.003736515
1701,0.003659237
1702,0.003582005
1703,0.003504745
1704,0.003427502
1705,0.003350217
1706,0.003272951
1707,0.003195692
1708,0.003118405
1709,0.003041128
1710,0.002962591
1711,0.002882775
1712,0.00280293
1713,0.002723117
1714,0.002643303
1715,0.002563467
1716,0.002483632
1717,0.002403814
1718,0.002323986
1719,0.002244115
1720,0.002168825
1721,0.002098028
1722,0.002027208
1723,0.001956389
1724,0.001885566
1725,0.001814725
1726,0.001743953
1727,0.001673114
1728,0.001602322
1729,0.001531525
1730,0.001464255
1731,0.001400488
1732,0.001336725
1733,0.001272953
1734,0.001209215
1735,0.001145489
1736,0.001081739
1737,0.001017995
1738,0.000954261
1739,0.000890519
1740,0.000818364
1741,0.000737812
1742,0.000657256
1743,0.000576652
1744,0.000496115
1745,0.000415502
1746,0.000334933
1747,0.000254384
1748,0.000173801
1749,9.32E-05
1750,0
1751,-0.0001059
1752,-0.000211789
1753,-0.000317694
1754,-0.000423582
1755,-0.000529479
1756,-0.000635382
1757,-0.000741238
1758,-0.00084714
1759,-0.000953017
1760,-0.00106201
1761,-0.001174021
1762,-0.001286082
1763,-0.001398101
1764,-0.001510149
1765,-0.001622194
1766,-0.001734227
1767,-0.001846273
1768,-0.001958284
1769,-0.002070318
1770,-0.002195756
1771,-0.002334553
1772,-0.002473355
1773,-0.002612165
1774,-0.002750974
1775,-0.002889771
1776,-0.003028574
1777,-0.00316737
1778,-0.003306197
1779,-0.003444959
1780,-0.003584477
1781,-0.003724718
1782,-0.003864866
1783,-0.004005051
1784,-0.004145257
1785,-0.004285443
1786,-0.00442567
1787,-0.004565848
1788,-0.004706005
1789,-0.004846228
1790,-0.005009012
1791,-0.005194317
1792,-0.005379655
1793,-0.005565005
1794,-0.00575032
1795,-0.00593567
1796,-0.006121013
1797,-0.006306339
1798,-0.006491685
1799,-0.006677046
1800,-0.006912538
1801,-0.00719825
1802,-0.007483979
1803,-0.007769664
1804,-0.008055377
1805,-0.008341058
1806,-0.008626776
1807,-0.008912478
1808,-0.009198184
1809,-0.009483913
1810,-0.009822646
1811,-0.010214486
1812,-0.010606303
1813,-0.01099815
1814,-0.01139
1815,-0.011781829
1816,-0.01217371
1817,-0.012565533
1818,-0.012957348
1819,-0.013349165
1820,-0.013731692
1821,-0.014104953
1822,-0.014478229
1823,-0.01485144
1824,-0.015224707
1825,-0.015597931
1826,-0.015971164
1827,-0.016344392
1828,-0.016717662
1829,-0.017090871
1830,-0.017576486
1831,-0.018174429
1832,-0.018772395
1833,-0.019370329
1834,-0.019968232
1835,-0.020566172
1836,-0.021164136
1837,-0.021762087
1838,-0.022360017
1839,-0.022957942
1840,-0.023565785
1841,-0.024183493
1842,-0.024801253
1843,-0.025418955
1844,-0.026036713
1845,-0.026654434
1846,-0.027272155
1847,-0.027889876
1848,-0.028507631
1849,-0.029125347
1850,-0.029960521
1851,-0.031013071
1852,-0.03206565
1853,-0.033118215
1854,-0.034170792
1855,-0.035223373
1856,-0.036275953
1857,-0.037328514
1858,-0.038381062
1859,-0.039433662
1860,-0.040275581
1861,-0.040906843
1862,-0.041538143
1863,-0.042169412
1864,-0.042800663
1865,-0.043431977
1866,-0.044063239
1867,-0.044694515
1868,-0.045325799
1869,-0.045957084
1870,-0.047015501
1871,-0.04850101
1872,-0.049986582
1873,-0.051472111
1874,-0.052957631
1875,-0.05444319
1876,-0.055928679
1877,-0.057414235
1878,-0.058899797
1879,-0.060385348
1880,-0.061656797
1881,-0.062714168
1882,-0.063771552
1883,-0.064828902
1884,-0.065886249
1885,-0.06694367
1886,-0.068001028
1887,-0.069058387
1888,-0.070115749
1889,-0.071173127
1890,-0.072181562
1891,-0.073141049
1892,-0.074100572
1893,-0.075060053
1894,-0.076019549
1895,-0.076979048
1896,-0.077938514
1897,-0.07889801
1898,-0.079857509
1899,-0.080817014
1900,-0.082051412
1901,-0.083560717
1902,-0.085070025
1903,-0.08657934
1904,-0.088088656
1905,-0.08959794
1906,-0.091107239
1907,-0.092616557
1908,-0.094125856
1909,-0.095635167
1910,-0.096543026
1911,-0.096849452
1912,-0.097155849
1913,-0.097462225
1914,-0.097768651
1915,-0.098075042
1916,-0.098381445
1917,-0.098687851
1918,-0.098994247
1919,-0.099300669
1920,-0.099870868
1921,-0.100704835
1922,-0.101538834
1923,-0.102372818
1924,-0.103206822
1925,-0.104040817
1926,-0.104874776
1927,-0.105708753
1928,-0.106542731
1929,-0.107376729
1930,-0.108277264
1931,-0.109244344
1932,-0.110211431
1933,-0.111178511
1934,-0.112145602
1935,-0.113112691
1936,-0.114079764
1937,-0.115046804
1938,-0.116013916
1939,-0.116981002
1940,-0.117392167
1941,-0.117247452
1942,-0.117102751
1943,-0.116958005
1944,-0.11681324
1945,-0.116668527
1946,-0.116523815
1947,-0.116379099
1948,-0.11623436
1949,-0.116089612
1950,-0.116334207
1951,-0.116968083
1952,-0.117601978
1953,-0.118235848
1954,-0.118869713
1955,-0.119503586
1956,-0.120137464
1957,-0.120771333
1958,-0.121405198
1959,-0.122039075
1960,-0.122610107
1961,-0.123118237
1962,-0.123626398
1963,-0.12413456
1964,-0.124642705
1965,-0.125150851
1966,-0.125658997
1967,-0.126167171
1968,-0.126675306
1969,-0.127183461
1970,-0.127503772
1971,-0.127636142
1972,-0.127768518
1973,-0.127900903
1974,-0.128033312
1975,-0.12816571
1976,-0.128298103
1977,-0.128430499
1978,-0.128562851
1979,-0.128695241
1980,-0.128967689
1981,-0.12938016
1982,-0.129792592
1983,-0.130205034
1984,-0.130617492
1985,-0.131029939
1986,-0.131442362
1987,-0.131854803
1988,-0.132267289
1989,-0.132679751
1990,-0.132616748
1991,-0.132078307
1992,-0.131539888
1993,-0.131001434
1994,-0.130463004
1995,-0.129924577
1996,-0.129386137
1997,-0.12884768
1998,-0.128309247
1999,-0.127770851
2000,-0.127174367
2001,-0.126064223
2002,-0.12450978
2003,-0.123322382
2004,-0.121144313
2005,-0.118665462
2006,-0.117400644
2007,-0.116993022
2008,-0.11690421
2009,-0.114999863
2010,-0.11308147
2011,-0.113404758
2012,-0.112465656
2013,-0.111480212
2014,-0.111156423
2015,
2016,
2017,
2018,
2019,
2020,
2021,
2022,
2023,
