Time,CMIP6
1868.708333,-0.0037776
1868.791667,-0.00401396
1868.875,-0.0031082
1868.958333,-0.00188688
1869.041667,-0.00213301
1869.125,-0.0022449
1869.208333,-0.00173533
1869.291667,-0.00139359
1869.375,-0.000745615
1869.458333,-0.000985799
1869.541667,-0.00155021
1869.625,-0.0035737
1869.708333,-0.00385857
1869.791667,-0.00409558
1869.875,-0.00318885
1869.958333,-0.00196598
1870.041667,-0.00221517
1870.125,-0.00232712
1870.208333,-0.00181664
1870.291667,-0.00147437
1870.375,-0.000826203
1870.458333,-0.00106661
1870.541667,-0.00163232
1870.625,-0.00365889
1870.708333,-0.00394395
1870.791667,-0.00418159
1870.875,-0.00327389
1870.958333,-0.00204941
1871.041667,-0.00230154
1871.125,-0.00241346
1871.208333,-0.00190207
1871.291667,-0.00155928
1871.375,-0.000910871
1871.458333,-0.00115153
1871.541667,-0.00171868
1871.625,-0.00374838
1871.708333,-0.00403363
1871.791667,-0.00427203
1871.875,-0.00336323
1871.958333,-0.00213709
1872.041667,-0.00239221
1872.125,-0.00250406
1872.208333,-0.00199178
1872.291667,-0.00164838
1872.375,-0.000999683
1872.458333,-0.00124065
1872.541667,-0.00180922
1872.625,-0.00384237
1872.708333,-0.00412774
1872.791667,-0.00436681
1872.875,-0.0603728
1872.958333,-0.116342
1873.041667,-0.173871
1873.125,-0.231836
1873.208333,-0.286618
1873.291667,-0.283739
1873.375,-0.281076
1873.458333,-0.283517
1873.541667,-0.280271
1873.625,-0.282835
1873.708333,-0.285404
1873.791667,-0.289676
1873.875,-0.230283
1873.958333,-0.173261
1874.041667,-0.117002
1874.125,-0.0602478
1874.208333,-0.00218364
1874.291667,-0.00183897
1874.375,-0.00118964
1874.458333,-0.00143128
1874.541667,-0.00200293
1874.625,-0.00404329
1874.708333,-0.00432911
1874.791667,-0.00456965
1874.875,-0.00365756
1874.958333,-0.00242582
1875.041667,-0.00268936
1875.125,-0.00280117
1875.208333,-0.00228574
1875.291667,-0.00194048
1875.375,-0.00129086
1875.458333,-0.00153282
1875.541667,-0.00210611
1875.625,-0.00415031
1875.708333,-0.00443636
1875.791667,-0.00467773
1875.875,-0.00376442
1875.958333,-0.00253063
1876.041667,-0.00279683
1876.125,-0.0029086
1876.208333,-0.00239203
1876.291667,-0.00204613
1876.375,-0.00139621
1876.458333,-0.0016385
1876.541667,-0.00221352
1876.625,-0.00426173
1876.708333,-0.00454793
1876.791667,-0.00479018
1876.875,-0.00387557
1876.958333,-0.00263971
1877.041667,-0.00290858
1877.125,-0.00302024
1877.208333,-0.00250255
1877.291667,-0.00215593
1877.375,-0.00150563
1877.458333,-0.0017483
1877.541667,-0.00232512
1877.625,-0.00437752
1877.708333,-0.0046639
1877.791667,-0.00490705
1877.875,-0.00399109
1877.958333,-0.00275304
1878.041667,-0.00302451
1878.125,-0.00313613
1878.208333,-0.00261719
1878.291667,-0.00226988
1878.375,-0.00161925
1878.458333,-0.00186229
1878.541667,-0.00244094
1878.625,-0.00449761
1878.708333,-0.00478429
1878.791667,-0.00502833
1878.875,-0.00411102
1878.958333,-0.00287065
1879.041667,-0.00314464
1879.125,-0.00325617
1879.208333,-0.00273605
1879.291667,-0.00238798
1879.375,-0.00173692
1879.458333,-0.00198035
1879.541667,-0.00256093
1879.625,-0.00462215
1879.708333,-0.00490904
1879.791667,-0.00515406
1879.875,-0.0232264
1879.958333,-0.0411037
1880.041667,-0.0605611
1880.125,-0.0800852
1880.208333,-0.0981527
1880.291667,-0.0969511
1880.375,-0.0956228
1880.458333,-0.0966034
1880.541667,-0.0959028
1880.625,-0.0981465
1880.708333,-0.0992004
1880.791667,-0.100801
1880.875,-0.0991467
1880.958333,-0.0982662
1881.041667,-0.0987979
1881.125,-0.0993471
1881.208333,-0.0982816
1881.291667,-0.0970792
1881.375,-0.0957506
1881.458333,-0.0967312
1881.541667,-0.0960328
1881.625,-0.0982813
1881.708333,-0.0993351
1881.791667,-0.100937
1881.875,-0.0803592
1881.958333,-0.0603912
1882.041667,-0.041744
1882.125,-0.0228453
1882.208333,-0.00311762
1882.291667,-0.0027671
1882.375,-0.00211488
1882.458333,-0.00235958
1882.541667,-0.0029463
1882.625,-0.00502181
1882.708333,-0.0053095
1882.791667,-0.00555755
1882.875,-0.00463421
1882.958333,-0.00338388
1883.041667,-0.00366734
1883.125,-0.00377869
1883.208333,-0.00325308
1883.291667,-0.00290173
1883.375,-0.00224915
1883.458333,-0.00249431
1883.541667,-0.00308313
1883.625,-0.0376946
1883.708333,-1.56515
1883.791667,-2.464
1883.875,-2.60326
1883.958333,-2.59239
1884.041667,-2.54735
1884.125,-2.49811
1884.208333,-2.41845
1884.291667,-2.35434
1884.375,-2.29979
1884.458333,-2.24825
1884.541667,-2.18233
1884.625,-2.09835
1884.708333,-1.99042
1884.791667,-1.86927
1884.875,-1.73724
1884.958333,-1.60748
1885.041667,-1.47141
1885.125,-1.3374
1885.208333,-1.20827
1885.291667,-1.08888
1885.375,-0.982238
1885.458333,-0.894468
1885.541667,-0.805672
